city,year,weekofyear,total_cases
iq,2012,9,3
iq,2012,10,23
iq,2012,11,0
iq,2012,12,0
iq,2012,13,0
iq,2012,14,0
iq,2012,15,0
iq,2012,16,20
iq,2012,17,23
iq,2012,18,0
iq,2012,19,0
iq,2012,20,20
iq,2012,21,0
iq,2012,22,0
iq,2012,23,0
iq,2012,24,0
iq,2012,25,0
iq,2012,26,0
iq,2012,27,0
iq,2012,28,0
iq,2012,29,0
iq,2012,30,0
iq,2012,31,0
iq,2012,32,0
iq,2012,33,0
iq,2012,34,0
iq,2012,35,0
iq,2012,36,0
iq,2012,37,0
iq,2012,38,0
iq,2012,39,0
iq,2012,40,0
iq,2012,41,0
iq,2012,42,0
iq,2012,43,0
iq,2012,44,16
iq,2012,45,16
iq,2012,46,16
iq,2012,47,20
iq,2012,48,112
iq,2012,49,16
iq,2012,50,16
iq,2012,51,16
iq,2013,1,16
iq,2013,2,0
iq,2013,3,0
iq,2013,4,0
iq,2013,5,2
iq,2013,6,23
iq,2013,7,23
iq,2013,8,23
iq,2013,9,20
iq,2013,10,20
iq,2013,11,0
iq,2013,12,333
iq,2013,13,0
iq,2013,14,0
iq,2013,15,0
iq,2013,16,0
iq,2013,17,20
iq,2013,18,0
iq,2013,19,2
iq,2013,20,16
iq,2013,21,0
iq,2013,22,20
iq,2013,23,0
iq,2013,24,0
iq,2013,25,0
iq,2013,26,0
